"stock_code","sname","area","pos_x","pos_y","industry","institutional","lootchips","pricelimit","shareholders","name","ename","register_date","addr_reg","addr_work","market","listing_date","offer_date","stock_type","addr","create_date","id","web_site"
"000538","云南白药","云南","102.702","25.0375","制药","104139.97","10.41","10.41","717.81","云南白药集团股份有限公司","Yunnan Baiyao Group Co., Ltd.","1993/11/28","云南省昆明市国家高新技术产业开发区","云南省昆明市呈贡区云南白药街3686号","深圳证券交易所","1993/12/15","1993/11/6","流通A股","","","",""
"600663","陆家嘴","上海","121.538","31.221","不动产投资开发","186768.40","13.58","18.68","708.92","上海陆家嘴金融贸易区开发股份有限公司","Shanghai Lujiazui Finance and Trade Zone Development Co., Ltd.","1992/8/30","上海市浦东大道981号","上海市浦东新区峨山路101号1号楼","上海证券交易所","1993/6/28","1992/6/19","流通A股","","","",""
"600893","中航动力","陕西","108.972","34.3621","航空航天","194871.88","13.65","19.49","695.81","中航动力股份有限公司","AVICAVIATION ENGINE CORPORATION PLC.","1993/5/28","陕西省西安市未央区徐家湾","陕西省西安市未央区徐家湾","上海证券交易所","1996/4/8","1996/3/21","流通A股","","","",""
"601866","中海集运","上海","121.537","31.2298","水上运输","1168312.50","79.32","116.83","692.47","中海集装箱运输股份有限公司","China Shipping Container Lines Company Limited","2004/3/3","上海市中国（上海）自由贸易试验区国贸大厦A-538室","上海市浦东新区民生路628号航运科研大厦","上海证券交易所","2007/12/12","2007/12/5","流通A股","","","",""
"600340","华夏幸福","河北","116.467","39.9613","不动产投资开发","264575.94","26.46","26.46","691.60","华夏幸福基业股份有限公司","China Fortune Land Co., Ltd.","1993/5/28","河北省固安县京开路西侧三号路北侧一号","北京市朝阳区东三环北路霞光里18号佳程广场A座23层","上海证券交易所","2003/12/30","2003/12/15","流通A股","","","",""
"601857","中国石油","北京","116.439","39.9489","石油勘探与开采","18302097.78","1619.22","1830.21","14297.72","中国石油天然气股份有限公司","Petrochina Company Limited","1999/11/5","北京市东城区安德路16号洲际大厦","北京市东城区东直门北大街9号","上海证券交易所","2007/11/5","2007/10/26","流通A股","","","",""
"600048","保利地产","广东","113.379","23.1095","不动产投资开发","1075524.59","107.55","107.55","977.65","保利房地产(集团)股份有限公司","Poly Real Estate Group Co., Ltd.","1992/9/14","广东省广州市海珠区阅江中路688号保利国际广场北塔30-33层","广东省广州市海珠区阅江中路688号保利国际广场北塔30-33层","上海证券交易所","2006/7/31","2006/7/19","流通A股","","","",""
"300059","东方财富","上海","121.298","31.3394","互联网","169950.61","12.86","16.93","687.50","东方财富信息股份有限公司","East Money Information Co., Ltd.","2005/1/20","上海市嘉定区宝安公路2999号1幢","上海市龙田路195号3号楼C座9楼","创业板","2010/3/19","2010/3/9","流通A股","","","",""
"600019","宝钢股份","上海","121.467","31.4152","钢铁","1646928.84","164.24","164.69","972.32","宝山钢铁股份有限公司","Baoshan Iron and Steel Company Limited","2000/2/3","上海市宝山区富锦路885号宝钢指挥中心","上海市宝山区富锦路885号宝钢指挥中心","上海证券交易所","2000/12/12","2000/11/20","流通A股","","","",""
"600276","恒瑞医药","江苏","119.353","34.7015","制药","195649.91","19.49","19.56","954.69","江苏恒瑞医药股份有限公司","Jiangsu Hengrui Medicine Co., Ltd.","1997/4/28","江苏省连云港市经济技术开发区昆仑山路7号","江苏省连云港市经济技术开发区昆仑山路7号","上海证券交易所","2000/10/18","2000/9/7","流通A股","","","",""
"600887","伊利股份","内蒙古","111.483","40.7629","食品生产（IV）","612874.21","60.16","61.29","942.65","内蒙古伊利实业集团股份有限公司","Inner Mongolia Yili Industrial Group Co., Ltd.","1993/6/4","内蒙古自治区呼和浩特市金山开发区金山大道1号","内蒙古自治区呼和浩特市金山开发区金山大道1号","上海证券交易所","1996/3/12","1996/1/25","流通A股","","","",""
