"id","name","province","city","area","pos_x","pos_y","addr","cert_level","cert_no","eval_range","tel","email","project_num","permit_num","engineer_num","record_num"
"10","北京中环国宏环境资源科技有限公司（中国环境科学研究院）","北京","北京","朝阳区","116.425903","40.048946","北京 北京 朝阳区 北京市朝阳区安外北苑大羊坊8号","乙级","1001","一般项目环境影响报告表,农林水利（乙级）,社会区域（甲级）,交通运输（甲级）,采掘（甲级）,建材火电（甲级）,化工石化医药（甲级）,轻工纺织化纤（甲级)","010-84915229","","35","0","35","1"
"11","北京国寰天地环境技术发展中心有限公司（环境保护部环境发展中心、国家环境保护总局环境发展中心）","北京","北京","朝阳区","116.437325","39.993900","北京 北京 朝阳区 北京市朝阳区育慧南路1号","甲级","1002","化工石化医药（甲级）,建材火电（甲级）,交通运输（甲级）,采掘（甲级）,冶金机电（甲级）,社会区域（甲级）,一般项目环境影响报告","","chenxi@edc-eia.org","43","0","43","1"
"12","中国气象科学研究院","北京","北京","海淀区","116.333649","39.954674","北京 北京 海淀区 北京海淀中关村南大街46号","甲级","1003","建材火电（甲级）,冶金机电（乙级）,社会区域（乙级）,一般项目环境影响报告","010-68406206"," wlb@cams.cma.gov.cn","167","0","167","6"
"13","中国农业大学","北京","北京","海淀区","116.288193","40.033009","北京 北京 海淀区 北京市海淀区圆明园西路2号","甲级","1004","农林水利（甲级）,社会区域（甲级）,一般项目环境影响报告","010-62733494","nongdaeia@126.com","11","0","12","0"
"14","中国林业科学研究院森林生态环境与保护研究所（中国林业科学研究院）","北京","北京","海淀区","116.256157","40.009964","北京 北京 海淀区 北京市海淀区东小府2号","乙级","1005","特殊项目环境影响报告表,一般项目环境影响报告表,输变电及 广电通讯（乙级）,社会区域（乙级）,化工石化医药（乙级）,交通运输（乙级）,农林水利（甲级）,轻工纺织化纤（甲级)","010-62875087","","91","0","91","3"
"15","中国科学院生态环境研究中心","北京","北京","海淀区","116.349197","40.014828","北京 北京 海淀区 北京市海淀区双清路18号 ","甲级","1006","农林水利（甲级）,交通运输（甲级）,社会区域（甲级）,冶金机电（乙级）,一般项目环境影响报告","","","82","0","82","2"
"16","中国寰球工程公司","北京","北京","朝阳区","116.481972","40.022827","北京 北京 朝阳区 北京市朝阳区来广营乡高科技产业园创达二路1号","甲级","1008","化工石化医药（甲级）,一般项目环境影响报告","010-58676688","","7","0","12","0"
"17","北京飞燕石化环保科技发展有限公司","北京","北京","房山区","115.959274","39.732128","北京 北京 房山区 北京房山区迎风三里1号","甲级","1010","化工石化医药（甲级）,交通运输（甲级）,社会区域（乙级）,采掘（乙级）,一般项目环境影响报告","010-69335265","","15","0","14","1"
"18","北京市环境保护科学研究院","北京","北京","西城区","116.355881","39.930103","北京 北京 西城区 北京市西城区北营房中街59号","甲级","1011","化工石化医药（甲级）,交通运输（甲级）,社会区域（甲级）,冶金机电（乙级）,一般项目环境影响报告","010-68314675","","27","0","27","0"
"19","北京实华油海工程技术有限公司","北京","北京","朝阳区","116.414902","40.006893","北京 北京 朝阳区 北京市朝阳区安慧北里安园21号","甲级","1012","化工石化医药（甲级）,一般项目环境影响报告","010-64962266-6001","","2","0","17","1"
