stockCode,greenWords,totalWords
000012,8756,650110
000027,31616,772250
000050,3751,354774
000078,3946,111791
000153,2145,139499
000423,9995,577572
000519,472,26065
000523,409,18737
000543,9539,557696
000545,1993,42933
000550,1991,99187
000553,10838,475852
000570,1898,78506
000576,2174,197319
000590,1455,207915
000591,68749,3391768
000597,16862,845777
000599,1004,38195
000600,3080,72652
000623,600,39165
000637,1026,72406
000661,1713,86523
000666,11079,440252
000672,5668,252536
000698,9214,436024
000707,1632,309616
000716,1118,90811
000725,2269,449978
000733,3089,202663
000737,20873,1557932
000755,7533,525819
000756,14503,628200
000766,1968,101968
000778,6164,291029
000780,8736,766596
000782,2512,123524
000788,1299,88514
000789,3898,156978
000790,5983,359109
000792,23190,1935483
000807,1940,95566
000811,2365,100367
000821,633,101806
000830,5401,255039
000878,1156,49586
000885,0,1793
000887,2230,171194
000890,780,47128
000893,178,16812
000895,16779,1075619
000910,1252,42616
000911,2800,124765
000912,3602,123604
000922,1454,56420
000930,450,22015
000939,7049,133310
000960,3186,310307
000969,6482,389534
000972,2162,134424
000973,5470,466036
000976,4321,605338
000983,196165,6193552
000985,4687,645621
000988,6017,601262
000990,1500,69708
000999,3237,238990
002001,8171,366483
002006,3602,347212
002010,4572,220537
002020,7261,418697
002021,4641,401915
002025,1214,79983
002026,362,23031
002031,713,89883
002039,120865,2622838
002045,3046,291131
002047,3348,251378
002057,28249,1546033
002064,1780,55960
002066,242,19078
002067,14065,675894
002073,5269,600835
002074,4908,100902
002075,1673,53130
002090,1409,83982
002099,8161,518575
002101,1601,126587
002103,10428,707104
002110,23839,965247
002112,3557,216710
002118,1845,109463
002121,6713,252025
002128,15119,522068
002132,346,18800
002136,7778,107805
002167,1765,249238
002169,3222,58316
002176,1872,42951
002177,3235,367807
002179,10585,379230
002180,554,35949
002182,1283,72982
002184,4426,176044
002189,913,40724
002203,8158,467266
002205,5610,308665
002206,424,20100
002221,544,23451
002224,345,23280
002225,1095,54338
002226,3280,114852
002227,36311,505473
002233,4909,2607991
002246,4422,223901
002248,164,13667
002259,950,66284
002262,424,52547
002271,20592,666228
002272,309,14382
002273,295,27114
002275,4386,187560
002286,3892,119740
002287,724,35473
002294,824,32372
002295,454,36047
002300,3894,146080
002308,3111,245034
002309,1542,95112
002317,1171,100271
002318,1831,41236
002322,4339,81482
002329,884,57801
002330,941,78908
002332,1311,70306
