stockCode	total
000012	1735
000020	291
000027	3153
000050	5138
000055	2168
000058	2012
000060	1096
000078	370
000153	467
000159	861
000301	1145
000338	7024
000423	1859
000488	3284
000510	800
000519	130
000523	141
000531	1972
000543	713
000545	290
000550	347
000553	985
000566	2278
000570	320
000571	1133
000576	416
000590	447
000591	6221
000597	5707
000599	197
000600	396
000619	1581
000623	417
000635	404
000637	308
000639	604
000650	611
000661	244
000666	755
000672	1366
000683	302
000698	1051
000707	284
000708	453
000716	547
000722	140
000725	516
000733	1198
000737	5612
000755	3089
000756	3942
000758	204
000766	585
000778	1301
000780	1197
000782	658
000788	384
000789	7762
000790	1993
000792	5530
000806	1382
000807	314
000811	441
000821	1865
000830	1263
000875	1562
000878	156
000885	156
000887	891
000890	333
000893	169
000895	3104
000910	179
000911	437
000912	591
000922	395
000930	13409
000937	237
000939	376
000960	2178
000969	3978
000972	1433
000973	1547
000976	819
000983	28742
000985	1710
000988	1847
000990	578
000999	1632
002001	1394
002002	1035
002006	1277
002008	2246
002010	688
002011	193
002014	165
002020	2504
002021	1217
002025	984
002026	1224
002028	1123
002031	417
002039	8197
002043	2114
002045	2331
002046	700
002047	609
002054	1638
002056	3031
002057	3097
002064	442
002066	117
002067	3255
002073	1148
002074	369
002075	274
002078	184
002090	641
002092	1445
002099	1219
002101	564
002103	5800
002108	711
002110	5284
002112	1126
002118	377
002121	892
002128	1409
002132	7830
002136	335
002138	1093
002139	105
002152	3390
002164	988
002165	725
002167	440
002169	196
002176	260
002177	2400
002179	1148
002180	116
002182	563
002184	1159
002189	354
002203	1469
002205	1300
002206	221
002209	1508
002217	2722
002221	176
002224	144
002225	338
002226	522
002227	1431
002233	1239
002240	2472
002241	1020
002246	4101
002248	375
002259	399
002262	283
002266	1746
002271	3580
002272	679
002273	315
002275	1216
002282	1767
002286	524
002287	306
002294	251
002295	352
002300	782
002308	968
002309	803
002317	559
002318	451
002322	434
002326	1681
002329	390
002330	426
002332	499
002335	1097
002339	1247
002340	1974
002342	1513
002347	488
002350	1178
002352	116
002353	3237
002359	220
002361	172
002364	204
002370	255
002372	2875
002374	2322
002377	417
002378	390
002380	1230
002382	165
002389	128
002390	1422
002392	286
002393	602
002395	233
002402	155
002406	1228
002407	478
002409	756
002411	1513
002412	878
002422	753
002427	194
002430	322
002436	1925
002437	1501
002438	1677
002440	505
002443	1207
002449	990
002450	332
002452	399
002453	326
002455	424
002457	325
002459	772
002460	392
002466	402
002471	1132
002472	1062
002476	140
002478	900
002479	677
002483	2420
002487	481
002490	276
002496	1462
002497	3454
002498	565
002499	365
002506	1052
002512	751
002520	1000
002529	1270
002530	193
002531	1054
002534	348
002539	3480
002541	648
002546	184
002552	621
002554	257
002571	498
002573	271
002579	855
002580	486
002582	2910
002585	371
002587	636
002588	2324
002591	392
002594	173
002596	241
002597	1487
002598	776
002600	1404
002601	377
002603	1482
002604	7921
002606	757
002613	413
002614	409
002619	127
002623	126
002630	279
002631	285
002632	154
002637	328
002644	1554
002645	219
002648	100
002650	1229
002651	744
002653	968
002655	334
002660	773
002664	1290
002665	2216
002670	179
002671	6781
002675	234
002683	1899
002684	3085
002688	273
002689	416
002690	406
002691	370
002693	594
002694	231
002695	1433
002723	532
002743	210
002745	760
002749	272
002756	203
002772	154
002782	196
002787	238
002810	287
002818	387
300001	205
300004	1068
300006	430
300007	827
300014	472
300016	2028
300019	1403
300021	2522
300024	1498
300026	512
300031	582
300034	279
300035	433
300037	608
300041	375
300046	1514
300048	521
300053	1200
300054	168
300056	393
300057	226
300062	3297
300064	502
300066	914
300067	364
300068	972
300072	943
300073	838
300080	1188
300082	1881
300084	919
300088	3601
300090	539
300093	591
300099	616
300102	548
300103	351
300105	1019
300109	242
300110	705
300114	505
300116	355
300118	4308
300120	467
300125	747
300129	558
300130	445
300132	675
300135	127
300138	198
300140	300
300145	629
300146	3446
300149	435
300151	415
300153	306
300156	189
300157	1313
300158	1145
300159	107
300162	2032
300169	207
300173	936
300174	120
300181	100
300185	732
300191	1212
300192	157
300193	394
300194	803
300196	1135
300199	1250
300200	455
300201	704
300202	606
300216	755
300217	343
300218	210
300222	110
300227	233
300228	428
300232	3261
300233	1230
300236	351
300241	1480
300252	636
300257	907
300263	339
300266	1087
300267	458
300272	1695
300274	1005
300276	288
300281	216
300283	753
300285	445
300286	1548
300289	1053
300293	272
300301	309
300306	941
300323	762
300327	3396
300334	375
300338	370
300340	992
300344	655
300351	628
300356	236
300357	430
300360	177
300361	770
300362	150
300368	108
300370	1476
300371	919
300372	495
300374	786
300376	1190
300381	1827
300394	176
300395	180
300398	210
300400	126
300402	931
300403	209
300406	1825
300408	215
300409	568
300410	136
300411	291
300415	1100
300416	800
300421	443
300429	121
300437	296
300439	477
300441	1131
300447	222
300450	188
300452	717
300463	376
300466	372
300470	474
300471	246
300472	201
300474	210
300480	351
300484	765
300485	687
300486	1318
300490	892
300491	207
300509	191
300512	183
300515	766
300527	839
300530	618
300534	389
300539	450
300558	596
600005	12147
600010	1011
600019	5182
600021	1264
600023	1436
600031	1655
600062	460
600069	629
600071	2724
600073	231
600075	429
600078	375
600080	254
600085	1094
600095	164
600096	1723
600101	2387
600103	10370
600104	118
600105	216
600111	6996
600114	1012
600116	638
600117	1181
600121	211
600123	17377
600126	186
600127	1725
600131	2920
600141	119
600143	108
600157	1757
600160	1460
600165	938
600169	296
600171	3228
600176	445
600184	2276
600188	5799
600189	7919
600191	179
600192	885
600200	501
600211	1235
600216	350
600219	755
600222	703
600226	2014
600227	1354
600235	1114
600237	969
600243	138
600249	362
600252	373
600256	315
600267	643
600268	1338
600277	1149
600282	2175
600285	403
600290	1601
600293	711
600295	152
600298	9110
600302	972
600305	353
600308	1567
600309	1639
600315	428
600321	197
600328	229
600330	353
600343	1078
600352	457
600353	1712
600356	1133
600362	2397
600366	281
600367	126
600378	403
600379	2875
