stockCode	total	totalDoc	docPercent
002342	1513	302	0.19960343688037013
603998	1278	255	0.19953051643192488
000985	1710	339	0.19824561403508772
300527	839	165	0.1966626936829559
600513	281	55	0.19572953736654805
600456	1124	217	0.19306049822064056
603288	889	169	0.19010123734533182
300185	732	139	0.18989071038251365
300130	445	83	0.18651685393258427
002787	238	44	0.18487394957983194
300057	226	41	0.18141592920353983
300301	309	55	0.1779935275080906
300162	2032	354	0.17421259842519685
601992	9979	1723	0.17266259144202825
002582	2910	498	0.1711340206185567
000999	1632	276	0.16911764705882354
600256	315	53	0.16825396825396827
002443	1207	203	0.16818558409279205
600305	353	59	0.1671388101983003
002588	2324	387	0.16652323580034423
000890	333	55	0.16516516516516516
002601	377	60	0.15915119363395225
002031	417	66	0.15827338129496402
002756	203	32	0.15763546798029557
000756	3942	615	0.15601217656012176
600801	2926	456	0.15584415584415584
300406	1825	278	0.15232876712328766
300114	505	76	0.1504950495049505
002688	273	41	0.15018315018315018
300472	201	30	0.14925373134328357
000973	1547	225	0.14544279250161604
000012	1735	251	0.14466858789625361
000553	985	142	0.14416243654822336
600101	2387	342	0.14327607875994972
600268	1338	191	0.14275037369207771
601020	696	99	0.14224137931034483
600121	211	29	0.13744075829383887
000698	1051	144	0.13701236917221693
600343	1078	147	0.13636363636363635
000893	169	23	0.13609467455621302
601313	524	71	0.13549618320610687
300441	1131	146	0.1290893015030946
000722	140	18	0.12857142857142856
600860	296	38	0.12837837837837837
000027	3153	403	0.12781477957500792
002664	1290	163	0.1263565891472868
002248	375	45	0.12
000672	1366	161	0.11786237188872621
002552	621	73	0.11755233494363929
600356	1133	133	0.11738746690203
601600	33977	3988	0.11737351737940371
600237	969	113	0.11661506707946337
300103	351	40	0.11396011396011396
002660	773	88	0.11384217335058215
000725	516	58	0.1124031007751938
000050	5138	577	0.11230050603347606
002335	1097	123	0.11212397447584321
603658	339	38	0.11209439528023599
000910	179	20	0.11173184357541899
600688	1330	147	0.11052631578947368
002233	1239	135	0.1089588377723971
600971	1679	175	0.1042287075640262
300306	941	98	0.10414452709883103
002205	1300	131	0.10076923076923076
601163	1867	187	0.1001606855918586
002573	271	27	0.0996309963099631
002006	1277	126	0.09866875489428348
002167	440	43	0.09772727272727273
002623	126	12	0.09523809523809523
002139	105	10	0.09523809523809523
601225	612	58	0.09477124183006536
300439	477	45	0.09433962264150944
002227	1431	134	0.0936408106219427
601016	6568	608	0.0925700365408039
600521	2186	202	0.09240622140896615
300558	596	55	0.09228187919463088
002169	196	18	0.09183673469387756
002632	154	14	0.09090909090909091
002460	392	35	0.08928571428571429
300093	591	52	0.08798646362098139
300073	838	73	0.08711217183770883
000780	1197	103	0.0860484544695071
600117	1181	101	0.0855207451312447
601677	1509	127	0.08416169648774023
601985	276	23	0.08333333333333333
600475	1683	139	0.0825906120023767
000792	5530	439	0.07938517179023508
000550	347	27	0.07780979827089338
000811	441	33	0.07482993197278912
000576	416	31	0.07451923076923077
002382	165	12	0.07272727272727272
000766	585	42	0.07179487179487179
601608	3944	280	0.07099391480730223
603227	214	15	0.07009345794392523
300006	430	30	0.06976744186046512
002353	3237	224	0.06919987642879209
600497	5850	398	0.06803418803418804
600592	2016	132	0.06547619047619048
300054	168	11	0.06547619047619048
600795	22694	1446	0.06371728210099586
600969	1277	81	0.06342991386061081
002455	424	26	0.06132075471698113
002110	5284	321	0.06074943224829674
600589	135	8	0.05925925925925926
300402	931	55	0.05907626208378088
002487	481	28	0.058212058212058215
600216	350	20	0.05714285714285714
601011	479	27	0.05636743215031315
300056	393	22	0.05597964376590331
002437	1501	84	0.05596269153897402
000778	1301	72	0.05534204458109147
002689	416	23	0.055288461538461536
300356	236	13	0.05508474576271186
002073	1148	62	0.05400696864111498
300376	1190	64	0.05378151260504202
300034	279	15	0.053763440860215055
300031	582	31	0.05326460481099656
603968	227	12	0.05286343612334802
300024	1498	79	0.0527369826435247
000912	591	31	0.05245346869712352
002534	348	18	0.05172413793103448
000078	370	19	0.051351351351351354
601958	5945	304	0.0511354079058032
600379	2875	147	0.051130434782608696
600298	9110	464	0.05093304061470911
600970	1614	80	0.04956629491945477
300491	207	10	0.04830917874396135
000969	3978	181	0.04550025138260432
300463	376	17	0.04521276595744681
000895	3104	140	0.045103092783505154
000423	1859	83	0.04464766003227542
002047	609	27	0.04433497536945813
600308	1567	68	0.04339502233567326
600819	323	14	0.043343653250773995
000523	141	6	0.0425531914893617
300408	215	9	0.04186046511627907
300372	495	20	0.04040404040404041
002128	1409	56	0.0397444996451384
002478	900	35	0.03888888888888889
300227	233	9	0.03862660944206009
300272	1695	64	0.03775811209439528
002039	8197	299	0.03647675979016714
000788	384	14	0.036458333333333336
300286	1548	56	0.03617571059431524
300252	636	23	0.036163522012578615
300153	306	11	0.03594771241830065
600141	119	4	0.03361344537815126
300174	120	4	0.03333333333333333
600558	1691	56	0.03311649911295092
600085	1094	36	0.03290676416819013
002075	274	9	0.032846715328467155
000597	5707	187	0.032766777641492904
002262	283	9	0.03180212014134275
600961	507	16	0.03155818540433925
600636	838	26	0.031026252983293555
300452	717	22	0.030683403068340307
002330	426	13	0.03051643192488263
002587	636	19	0.029874213836477988
300068	972	29	0.029835390946502057
600116	638	19	0.029780564263322883
002506	1052	31	0.029467680608365018
002001	1394	41	0.029411764705882353
002226	522	15	0.028735632183908046
600023	1436	41	0.028551532033426183
300374	786	22	0.027989821882951654
000983	28742	786	0.027346739962424326
300118	4308	116	0.02692664809656453
600746	1366	36	0.02635431918008785
601636	463	12	0.02591792656587473
600488	194	5	0.02577319587628866
002317	559	14	0.025044722719141325
601001	205	5	0.024390243902439025
300064	502	12	0.02390438247011952
002010	688	16	0.023255813953488372
300021	2522	58	0.022997620935765267
300410	136	3	0.022058823529411766
000976	819	18	0.02197802197802198
600103	10370	223	0.02150433944069431
300228	428	9	0.02102803738317757
300509	191	4	0.020942408376963352
002067	3255	68	0.020890937019969278
603806	491	10	0.020366598778004074
600789	256	5	0.01953125
000807	314	6	0.01910828025477707
002531	1054	20	0.018975332068311195
000782	658	12	0.0182370820668693
300202	606	11	0.018151815181518153
603601	115	2	0.017391304347826087
600881	5539	96	0.01733164831196967
002694	231	4	0.017316017316017316
002352	116	2	0.017241379310344827
002745	760	13	0.017105263157894738
600388	1907	32	0.016780283167278448
600249	362	6	0.016574585635359115
601168	590	9	0.015254237288135594
600019	5182	79	0.015245079120030876
300381	1827	26	0.014230979748221127
300340	992	14	0.014112903225806451
300158	1145	16	0.013973799126637555
002810	287	4	0.013937282229965157
600169	296	4	0.013513513513513514
002045	2331	31	0.013299013299013299
002271	3580	47	0.013128491620111732
002772	154	2	0.012987012987012988
300201	704	9	0.01278409090909091
600872	1420	18	0.01267605633802817
600609	491	6	0.012219959266802444
002637	328	4	0.012195121951219513
600671	165	2	0.012121212121212121
300283	753	9	0.01195219123505976
000666	755	9	0.011920529801324504
002361	172	2	0.011627906976744186
300233	1230	14	0.011382113821138212
002749	272	3	0.011029411764705883
603299	3108	34	0.010939510939510939
300515	766	8	0.010443864229765013
002427	194	2	0.010309278350515464
000988	1847	19	0.01028695181375203
000599	197	2	0.01015228426395939
000922	395	4	0.010126582278481013
002648	100	1	0.01
300151	415	4	0.00963855421686747
000623	417	4	0.009592326139088728
300145	629	6	0.009538950715421303
300398	210	2	0.009523809523809525
000716	547	5	0.009140767824497258
002225	338	3	0.008875739644970414
600328	229	2	0.008733624454148471
002189	354	3	0.00847457627118644
002021	1217	10	0.008216926869350863
300466	372	3	0.008064516129032258
002112	1126	9	0.007992895204262877
002440	505	4	0.007920792079207921
601727	1197	9	0.007518796992481203
603011	828	6	0.007246376811594203
002057	3097	22	0.007103648692282854
600664	6150	43	0.006991869918699187
600875	728	5	0.006868131868131868
600489	6003	41	0.00682991837414626
300437	296	2	0.006756756756756757
600005	12147	80	0.00658598830987075
000637	308	2	0.006493506493506494
000878	156	1	0.00641025641025641
600877	10391	66	0.006351650466750072
000972	1433	9	0.00628053035589672
600886	1288	8	0.006211180124223602
300217	343	2	0.0058309037900874635
002121	892	5	0.005605381165919282
600668	3980	22	0.005527638190954774
002546	184	1	0.005434782608695652
300334	375	2	0.005333333333333333
000755	3089	16	0.005179669796050502
300193	394	2	0.005076142131979695
300138	198	1	0.005050505050505051
300194	803	4	0.0049813200498132005
601106	8617	40	0.004641986770337705
002322	434	2	0.004608294930875576
002395	233	1	0.004291845493562232
002275	1216	5	0.004111842105263158
601179	1232	5	0.004058441558441558
600808	2676	10	0.0037369207772795215
600399	2832	10	0.0035310734463276836
000707	284	1	0.0035211267605633804
600644	9216	32	0.003472222222222222
300411	291	1	0.003436426116838488
002203	1469	5	0.0034036759700476512
000887	891	3	0.003367003367003367
000733	1198	4	0.00333889816360601
002136	335	1	0.0029850746268656717
300485	687	2	0.002911208151382824
002695	1433	4	0.0027913468248429866
002074	369	1	0.0027100271002710027
600219	755	2	0.0026490066225165563
002259	399	1	0.002506265664160401
000591	6221	15	0.0024111879119112683
600547	1254	3	0.0023923444976076554
600380	854	2	0.00234192037470726
002064	442	1	0.0022624434389140274
600419	451	1	0.0022172949002217295
300066	914	2	0.002188183807439825
002571	498	1	0.002008032128514056
002332	499	1	0.002004008016032064
002101	564	1	0.0017730496453900709
000830	1263	2	0.001583531274742676
600111	6996	11	0.0015723270440251573
300110	705	1	0.0014184397163120568
000960	2178	3	0.0013774104683195593
002603	1482	2	0.001349527665317139
600595	788	1	0.0012690355329949238
002309	803	1	0.0012453300124533001
300062	3297	4	0.001213224143160449
600165	938	1	0.0010660980810234541
002653	968	1	0.0010330578512396695
002025	984	1	0.0010162601626016261
300274	1005	1	0.0009950248756218905
002472	1062	1	0.0009416195856873823
300415	1100	1	0.0009090909090909091
600184	2276	2	0.0008787346221441124
300080	1188	1	0.0008417508417508417
002099	1219	1	0.0008203445447087777
002026	1224	1	0.0008169934640522876
002339	1247	1	0.0008019246190858059
600071	2724	2	0.0007342143906020558
002390	1422	1	0.0007032348804500703
603798	1509	1	0.0006626905235255136
300088	3601	2	0.0005554012774229381
000737	5612	3	0.0005345687811831789
600535	16134	8	0.0004958472790380563
300232	3261	1	0.00030665440049064706
600189	7919	2	0.0002525571410531633
601216	5700	1	0.00017543859649122806
000789	7762	1	0.00012883277505797475
300323	762	0	0.0
002650	1229	0	0.0
002665	2216	0	0.0
600979	3355	0	0.0
300429	121	0	0.0
600985	3659	0	0.0
600992	1285	0	0.0
600997	1903	0	0.0
300490	892	0	0.0
300486	1318	0	0.0
601015	4098	0	0.0
002402	155	0	0.0
002671	6781	0	0.0
002406	1228	0	0.0
000661	244	0	0.0
002631	285	0	0.0
300484	765	0	0.0
601113	726	0	0.0
002630	279	0	0.0
002619	127	0	0.0
002614	409	0	0.0
300480	351	0	0.0
601206	202	0	0.0
002670	179	0	0.0
002389	128	0	0.0
002675	234	0	0.0
002782	196	0	0.0
300403	209	0	0.0
600765	704	0	0.0
002347	488	0	0.0
002359	220	0	0.0
300001	205	0	0.0
002364	204	0	0.0
300409	568	0	0.0
300539	450	0	0.0
