stockCode	totalDoc
000012	251
000020	183
000027	403
000050	577
000055	762
000058	850
000060	530
000078	19
000153	0
000159	344
000301	683
000338	3630
000423	83
000488	1863
000510	217
000519	0
000523	6
000531	414
000543	0
000545	0
000550	27
000553	142
000566	819
000570	0
000571	448
000576	31
000590	0
000591	15
000597	187
000599	2
000600	0
000619	487
000623	4
000635	128
000637	2
000639	291
000650	254
000661	0
000666	9
000672	161
000683	67
000698	144
000707	1
000708	308
000716	5
000722	18
000725	58
000733	4
000737	3
000755	16
000756	615
000758	60
000766	42
000778	72
000780	103
000782	12
000788	14
000789	1
000790	0
000792	439
000806	383
000807	6
000811	33
000821	0
000830	2
000875	956
000878	1
000885	0
000887	3
000890	55
000893	23
000895	140
000910	20
000911	0
000912	31
000922	4
000930	0
000937	128
000939	0
000960	3
000969	181
000972	9
000973	225
000976	18
000983	786
000985	339
000988	19
000990	0
000999	276
002001	41
002002	822
002006	126
002008	533
002010	16
002011	0
002014	97
002020	0
002021	10
002025	1
002026	1
002028	581
002031	66
002039	299
002043	852
002045	31
002046	284
002047	27
002054	1083
002056	2238
002057	22
002064	1
002066	0
002067	68
002073	62
002074	1
002075	9
002078	0
002090	0
002092	607
002099	1
002101	1
002103	0
002108	345
002110	321
002112	9
002118	0
002121	5
002128	56
002132	0
002136	1
002138	629
002139	10
002152	873
002164	340
002165	188
002167	43
002169	18
002176	0
002177	0
002179	0
002180	0
002182	0
002184	0
002189	3
002203	5
002205	131
002206	0
002209	693
002217	637
002221	0
002224	0
002225	3
002226	15
002227	134
002233	135
002240	689
002241	800
002246	0
002248	45
002259	1
002262	9
002266	1012
002271	47
002272	0
002273	0
002275	5
002282	462
002286	0
002287	0
002294	0
002295	0
002300	0
002308	0
002309	1
002317	14
002318	0
002322	2
002326	780
002329	0
002330	13
002332	1
002335	123
002339	1
002340	797
002342	302
002347	0
002350	804
002352	2
002353	224
002359	0
002361	2
002364	0
002370	0
002372	691
002374	0
002377	0
002378	0
002380	508
002382	12
002389	0
002390	1
002392	71
002393	309
002395	1
002402	0
002406	0
002407	198
002409	558
002411	0
002412	416
002422	0
002427	2
002430	72
002436	666
002437	84
002438	0
002440	4
002443	203
002449	244
002450	0
002452	0
002453	243
002455	26
002457	0
002459	475
002460	35
002466	260
