stockCode,pageSize,docSize,htmlSize
000012,1735,251,1484
000020,291,183,108
000027,3153,403,2750
000050,5138,577,4561
000055,2168,762,1406
000058,2012,850,1162
000060,1096,530,566
000078,370,19,351
000153,467,0,467
000159,861,344,517
000301,1145,683,462
000338,7024,3630,3394
000423,1859,83,1776
000488,3284,1863,1421
000510,800,217,583
000519,130,0,130
000523,141,6,135
000531,1972,414,1558
000543,713,0,713
000545,290,0,290
000550,347,27,320
000553,985,142,843
000566,2278,819,1459
000570,320,0,320
000571,1133,448,685
000576,416,31,385
000590,447,0,447
000591,6221,15,6206
000597,5707,187,5520
000599,197,2,195
000600,396,0,396
000619,1581,487,1094
000623,417,4,413
000635,404,128,276
000637,308,2,306
000639,604,291,313
000650,611,254,357
000661,244,0,244
000666,755,9,746
000672,1366,161,1205
000683,302,67,235
000698,1051,144,907
000707,284,1,283
000708,453,308,145
000716,547,5,542
000722,140,18,122
000725,516,58,458
000733,1198,4,1194
000737,5612,3,5609
000755,3089,16,3073
000756,3942,615,3327
000758,204,60,144
000766,585,42,543
000778,1301,72,1229
000780,1197,103,1094
000782,658,12,646
000788,384,14,370
000789,7762,1,7761
000790,1993,0,1993
000792,5530,439,5091
000806,1382,383,999
000807,314,6,308
000811,441,33,408
000821,1865,0,1865
000830,1263,2,1261
000875,1562,956,606
000878,156,1,155
000885,156,0,156
000887,891,3,888
000890,333,55,278
000893,169,23,146
000895,3104,140,2964
000910,179,20,159
000911,437,0,437
000912,591,31,560
000922,395,4,391
000930,13409,0,13409
000937,237,128,109
000939,376,0,376
000960,2178,3,2175
000969,3978,181,3797
000972,1433,9,1424
000973,1547,225,1322
000976,819,18,801
000983,28742,786,27956
000985,1710,339,1371
000988,1847,19,1828
000990,578,0,578
000999,1632,276,1356
002001,1394,41,1353
002002,1035,822,213
002006,1277,126,1151
002008,2246,533,1713
002010,688,16,672
002011,193,0,193
002014,165,97,68
002020,2504,0,2504
002021,1217,10,1207
002025,984,1,983
002026,1224,1,1223
002028,1123,581,542
002031,417,66,351
002039,8197,299,7898
002043,2114,852,1262
002045,2331,31,2300
002046,700,284,416
002047,609,27,582
002054,1638,1083,555
002056,3031,2238,793
002057,3097,22,3075
002064,442,1,441
002066,117,0,117
002067,3255,68,3187
002073,1148,62,1086
002074,369,1,368
002075,274,9,265
002078,184,0,184
002090,641,0,641
002092,1445,607,838
002099,1219,1,1218
002101,564,1,563
002103,5800,0,5800
002108,711,345,366
002110,5284,321,4963
002112,1126,9,1117
002118,377,0,377
002121,892,5,887
002128,1409,56,1353
002132,7830,0,7830
002136,335,1,334
002138,1093,629,464
002139,105,10,95
002152,3390,873,2517
002164,988,340,648
002165,725,188,537
002167,440,43,397
002169,196,18,178
002176,260,0,260
002177,2400,0,2400
002179,1148,0,1148
002180,116,0,116
002182,563,0,563
002184,1159,0,1159
002189,354,3,351
002203,1469,5,1464
002205,1300,131,1169
002206,221,0,221
002209,1508,693,815
002217,2722,637,2085
002221,176,0,176
002224,144,0,144
002225,338,3,335
002226,522,15,507
002227,1431,134,1297
002233,1239,135,1104
002240,2472,689,1783
002241,1020,800,220
002246,4101,0,4101
002248,375,45,330
002259,399,1,398
002262,283,9,274
002266,1746,1012,734
002271,3580,47,3533
002272,679,0,679
002273,315,0,315
002275,1216,5,1211
002282,1767,462,1305
002286,524,0,524
002287,306,0,306
002294,251,0,251
002295,352,0,352
002300,782,0,782
002308,968,0,968
002309,803,1,802
002317,559,14,545
002318,451,0,451
002322,434,2,432
002326,1681,780,901
002329,390,0,390
002330,426,13,413
002332,499,1,498
002335,1097,123,974
002339,1247,1,1246
002340,1974,797,1177
002342,1513,302,1211
002347,488,0,488
002350,1178,804,374
002352,116,2,114
