source,target,weight
批准,升级,1
削减,升级,1
削减,批准,0
生产线,升级,0
生产线,批准,0
生产线,削减,0
消除,升级,0
消除,批准,8
消除,削减,0
消除,生产线,0
杜绝,升级,0
杜绝,批准,0
杜绝,削减,1
杜绝,生产线,0
杜绝,消除,1
评审,升级,1
评审,批准,2
评审,削减,0
评审,生产线,0
评审,消除,0
评审,杜绝,0
合法,升级,6
合法,批准,5
合法,削减,1
合法,生产线,0
合法,消除,0
合法,杜绝,0
合法,评审,0
宣传,升级,4
宣传,批准,2
宣传,削减,1
宣传,生产线,0
宣传,消除,1
宣传,杜绝,2
宣传,评审,1
宣传,合法,5
资源,升级,10
资源,批准,6
资源,削减,1
资源,生产线,0
资源,消除,1
资源,杜绝,1
资源,评审,1
资源,合法,18
资源,宣传,7
回收,升级,1
回收,批准,2
回收,削减,0
回收,生产线,0
回收,消除,2
回收,杜绝,0
回收,评审,1
回收,合法,1
回收,宣传,1
回收,资源,14
用水,升级,0
用水,批准,3
用水,削减,0
用水,生产线,0
用水,消除,2
用水,杜绝,0
用水,评审,0
用水,合法,0
用水,宣传,0
用水,资源,1
用水,回收,1
检验,升级,3
检验,批准,6
检验,削减,0
检验,生产线,0
检验,消除,0
检验,杜绝,0
检验,评审,0
检验,合法,3
检验,宣传,2
检验,资源,4
检验,回收,1
检验,用水,0
辐射,升级,0
辐射,批准,0
辐射,削减,0
辐射,生产线,0
辐射,消除,0
辐射,杜绝,0
辐射,评审,0
辐射,合法,0
辐射,宣传,0
辐射,资源,1
辐射,回收,0
辐射,用水,0
辐射,检验,1
限度,升级,1
限度,批准,1
限度,削减,1
限度,生产线,0
限度,消除,0
限度,杜绝,1
限度,评审,0
限度,合法,2
限度,宣传,2
限度,资源,4
限度,回收,0
限度,用水,0
限度,检验,0
限度,辐射,0
文明,升级,2
文明,批准,0
文明,削减,0
文明,生产线,0
文明,消除,0
文明,杜绝,0
文明,评审,3
文明,合法,0
文明,宣传,2
文明,资源,1
文明,回收,0
文明,用水,0
文明,检验,0
文明,辐射,0
文明,限度,0
规范,升级,9
规范,批准,7
规范,削减,1
规范,生产线,0
规范,消除,0
规范,杜绝,0
规范,评审,2
规范,合法,34
规范,宣传,6
规范,资源,33
规范,回收,2
规范,用水,0
规范,检验,5
规范,辐射,0
规范,限度,2
规范,文明,1
力度,升级,6
力度,批准,5
力度,削减,1
力度,生产线,0
力度,消除,1
力度,杜绝,1
力度,评审,1
力度,合法,28
力度,宣传,7
力度,资源,20
力度,回收,1
力度,用水,0
力度,检验,4
力度,辐射,0
力度,限度,2
力度,文明,1
力度,规范,29
绿化,升级,0
绿化,批准,0
绿化,削减,0
绿化,生产线,0
绿化,消除,0
绿化,杜绝,0
绿化,评审,0
绿化,合法,0
绿化,宣传,0
绿化,资源,1
绿化,回收,0
绿化,用水,1
绿化,检验,0
绿化,辐射,0
绿化,限度,0
绿化,文明,0
绿化,规范,0
绿化,力度,0
改造,升级,1
改造,批准,4
改造,削减,0
改造,生产线,0
改造,消除,0
改造,杜绝,0
改造,评审,2
改造,合法,0
改造,宣传,0
改造,资源,10
改造,回收,5
改造,用水,0
改造,检验,3
改造,辐射,0
改造,限度,0
改造,文明,1
改造,规范,4
改造,力度,0
改造,绿化,0
防治,升级,0
防治,批准,1
防治,削减,0
防治,生产线,0
防治,消除,0
防治,杜绝,0
防治,评审,0
防治,合法,0
防治,宣传,1
防治,资源,4
防治,回收,2
防治,用水,1
防治,检验,0
防治,辐射,0
防治,限度,0
防治,文明,0
防治,规范,2
防治,力度,0
防治,绿化,1
防治,改造,2
认证,升级,5
认证,批准,9
认证,削减,0
认证,生产线,0
认证,消除,0
认证,杜绝,0
认证,评审,3
认证,合法,1
认证,宣传,1
认证,资源,4
认证,回收,1
认证,用水,0
认证,检验,5
认证,辐射,0
认证,限度,0
认证,文明,1
认证,规范,5
认证,力度,1
认证,绿化,0
认证,改造,6
认证,防治,0
绿色,升级,0
绿色,批准,2
绿色,削减,0
绿色,生产线,0
绿色,消除,2
绿色,杜绝,0
绿色,评审,0
绿色,合法,0
绿色,宣传,0
绿色,资源,1
绿色,回收,0
绿色,用水,0
绿色,检验,0
绿色,辐射,0
绿色,限度,0
绿色,文明,0
绿色,规范,0
绿色,力度,0
绿色,绿化,0
绿色,改造,0
绿色,防治,0
绿色,认证,0
倡导,升级,6
倡导,批准,3
倡导,削减,2
倡导,生产线,0
倡导,消除,0
倡导,杜绝,1
倡导,评审,0
倡导,合法,20
倡导,宣传,4
倡导,资源,12
倡导,回收,1
倡导,用水,0
倡导,检验,4
倡导,辐射,0
倡导,限度,2
倡导,文明,0
倡导,规范,19
倡导,力度,15
倡导,绿化,0
倡导,改造,0
倡导,防治,0
倡导,认证,2
倡导,绿色,0
成效,升级,2
成效,批准,1
成效,削减,0
成效,生产线,0
成效,消除,0
成效,杜绝,0
成效,评审,0
成效,合法,2
成效,宣传,2
成效,资源,2
成效,回收,1
成效,用水,0
成效,检验,1
成效,辐射,0
成效,限度,1
成效,文明,1
成效,规范,2
成效,力度,2
成效,绿化,0
成效,改造,0
成效,防治,0
成效,认证,1
成效,绿色,0
成效,倡导,1
废水,升级,0
废水,批准,0
废水,削减,0
废水,生产线,0
废水,消除,0
废水,杜绝,0
废水,评审,1
废水,合法,0
废水,宣传,0
废水,资源,12
废水,回收,21
废水,用水,1
废水,检验,0
废水,辐射,0
废水,限度,0
废水,文明,0
废水,规范,2
废水,力度,0
废水,绿化,1
废水,改造,8
废水,防治,6
废水,认证,0
废水,绿色,0
废水,倡导,0
废水,成效,0
改革,升级,11
改革,批准,13
改革,削减,1
改革,生产线,0
改革,消除,0
改革,杜绝,0
改革,评审,1
改革,合法,32
改革,宣传,6
改革,资源,25
改革,回收,1
改革,用水,0
改革,检验,4
改革,辐射,0
改革,限度,4
改革,文明,0
改革,规范,35
改革,力度,30
改革,绿化,0
改革,改造,2
改革,防治,0
改革,认证,11
改革,绿色,1
改革,倡导,21
改革,成效,2
改革,废水,0
