stockCode,total_words_num
000012,650110
000027,772250
000050,354774
000078,111791
000153,139499
000423,577572
000519,26065
000523,18737
000543,557696
000545,42933
000550,99187
000553,475852
000570,78506
000576,197319
000590,207915
000591,3391768
000597,845777
000599,38195
000600,72652
000623,39165
000637,72406
000661,86523
000666,440252
000672,252536
000698,436024
000707,309616
000716,90811
000725,449978
000733,202663
000737,1557932
000755,525819
000756,628200
000766,101968
000778,291029
000780,766596
000782,123524
000788,88514
000789,156978
000790,359109
000792,1935483
000807,95566
000811,100367
000821,101806
000830,255039
000878,49586
000885,1793
000887,171194
000890,47128
000893,16812
000895,1075619
000910,42616
000911,124765
000912,123604
000922,56420
000930,22015
000939,133310
000960,310307
000969,389534
000972,134424
000973,466036
000976,605338
000983,6193552
000985,645621
000988,601262
000990,69708
000999,238990
002001,366483
002006,347212
002010,220537
002020,418697
002021,401915
002025,79983
002026,23031
002031,89883
002039,2622838
002045,291131
002047,251378
002057,1546033
002064,55960
002066,19078
002067,675894
002073,600835
002074,100902
002075,53130
002090,83982
002099,518575
002101,126587
002103,707104
002110,965247
002112,216710
002118,109463
002121,252025
002128,522068
002132,18800
002136,107805
002167,249238
002169,58316
002176,42951
002177,367807
002179,379230
002180,35949
002182,72982
002184,176044
002189,40724
002203,467266
002205,308665
002206,20100
002221,23451
002224,23280
002225,54338
002226,114852
002227,505473
002233,2607991
002246,223901
002248,13667
002259,66284
002262,52547
002271,666228
002272,14382
002273,27114
002275,187560
002286,119740
002287,35473
002294,32372
002295,36047
002300,146080
002308,245034
002309,95112
002317,100271
002318,41236
002322,81482
002329,57801
002330,78908
002332,70306
002335,196068
002339,172434
002342,52667
002347,116614
002353,190719
002361,32476
002364,32953
002370,144786
002374,425140
002377,51422
002378,60682
002390,225609
002395,19004
002402,43099
002406,64380
002411,181705
002422,132766
002427,45868
002437,136608
002438,389680
002440,29058
002443,194476
002450,180312
002452,55343
002455,194206
002457,41795
002460,46404
002471,207557
002472,161375
002476,15091
002478,107242
002487,736770
002496,87496
002498,151478
002499,75216
002506,369245
002512,211781
002520,119894
002529,247633
002530,48428
002531,227749
002534,43111
002541,97854
002546,21174
002552,225466
002554,41995
002571,24537
002573,30547
002582,267357
002587,72923
002588,386872
002591,94843
002596,103525
002598,34509
002600,116627
002601,65245
002603,258995
002604,297247
002613,71859
002614,39697
002619,8805
002623,21132
002630,39871
002631,20041
002632,84765
002637,43919
002648,14119
002650,513372
002653,92246
002660,299224
002664,240944
002665,95169
002670,24761
