addrReg,addrWork,area,ename,industry,institutional,is_target,listingDate,lootchips,market,name,offerDate,pricelimit,registerDate,shareholders,sname,stockCode,webSite
北京市东城区安德路16号洲际大厦,北京市东城区东直门北大街9号,北京,Petrochina Company Limited,石油勘探与开采,18302097.78,1.0,2007-11-04 16:00:00,1619.22,上海证券交易所,中国石油天然气股份有限公司,2007-10-25 16:00:00,1830.21,1999-11-04 16:00:00,12030.81,中国石油,601857,http://www.petrochina.com.cn
北京市朝阳区朝阳门北大街22号,北京市朝阳区朝阳门北大街22号,北京,China Petroleum and Chemical Corporation,石油勘探与开采,12107120.96,1.0,2001-08-07 16:00:00,955.58,上海证券交易所,中国石油化工股份有限公司,2001-07-15 16:00:00,1210.71,2000-02-24 16:00:00,4844.78,中国石化,600028,http://www.sinopec.com
北京市东城区安定门西滨河路22号,北京市东城区安定门西滨河路22号,北京,China Shenhua Energy Company Limited,煤炭开采,1988962.05,1.0,2007-10-08 16:00:00,164.91,上海证券交易所,中国神华能源股份有限公司,2007-09-24 16:00:00,198.9,2004-11-07 16:00:00,2852.95,中国神华,601088,http://www.csec.com;www.shenhuachina.com
上海市张江高科技园区松涛路563号1号楼509室,上海市静安区威海路489号,上海,SAIC Motor Corporation Limited,汽车,1102556.66,1.0,1997-11-24 16:00:00,110.26,上海证券交易所,上海汽车集团股份有限公司,1997-11-06 16:00:00,110.26,1997-11-23 16:00:00,2579.98,上汽集团,600104,http://www.saicmotor.com
北京市海淀区玉渊潭南路1号B座,北京市西城区金融大街19号富凯大厦B座,北京,"China Yangtze Power Co., Ltd.",电力（IV）,2200000.0,1.0,2003-11-17 16:00:00,97.46,上海证券交易所,中国长江电力股份有限公司,,220.0,2002-11-03 16:00:00,1303.03,长江电力,600900,http://www.cypc.com.cn
北京市海淀区昆明湖南路72号,北京市海淀区昆明湖南路72号,北京,China Shipbuilding Industry Company Limited,工业机械,1836166.51,1.0,2009-12-15 16:00:00,179.58,上海证券交易所,中国船舶重工股份有限公司,2009-12-06 16:00:00,183.62,2008-03-17 16:00:00,1231.91,中国重工,601989,http://www.csicl.com.cn
江苏省连云港市经济技术开发区昆仑山路7号,江苏省连云港市经济技术开发区昆仑山路7号,江苏,"Jiangsu Hengrui Medicine Co., Ltd.",制药,234776.29,1.0,2000-10-17 16:00:00,23.43,上海证券交易所,江苏恒瑞医药股份有限公司,2000-09-06 16:00:00,23.48,1997-04-27 16:00:00,1085.09,恒瑞医药,600276,http://www.hrs.com.cn
内蒙古自治区呼和浩特市金山开发区金山大街1号,内蒙古自治区呼和浩特市金山开发区金山大道1号,内蒙古,"Inner Mongolia Yili Industrial Group Co., Ltd.",食品生产（IV）,606480.01,1.0,1996-03-11 16:00:00,60.33,上海证券交易所,内蒙古伊利实业集团股份有限公司,1996-01-24 16:00:00,60.65,1993-06-03 16:00:00,1043.17,伊利股份,600887,http://www.yili.com
上海市宝山区富锦路885号宝钢指挥中心,上海市宝山区富锦路885号宝钢指挥中心,上海,Baoshan Iron and Steel Company Limited,钢铁,1646692.72,1.0,2000-12-11 16:00:00,164.24,上海证券交易所,宝山钢铁股份有限公司,2000-11-19 16:00:00,164.67,2000-02-02 16:00:00,914.83,宝钢股份,600019,http://www.baosteel.com
上海市兴义路8号万都中心30楼,上海市徐汇区钦江路212号,上海,Shanghai Electric Group Company Limited,电子电气组件与设备,1343115.64,1.0,2008-12-04 16:00:00,98.51,上海证券交易所,上海电气集团股份有限公司,,134.31,2004-02-29 16:00:00,829.49,上海电气,601727,http://www.shanghai-electric.com
