,word,tfidf
11141,公司,93.51576142574683
14500,社会,29.150568677786868
18829,员工,25.586378155984022
32336,管理,24.342157355123785
15564,发展,22.42350223930204
6481,企业,22.335271109038153
8497,责任,18.863891058291067
25164,安全,16.54401903248282
4627,工作,15.495310722811343
30221,生产,15.216927758956073
16926,环境,14.700275304366746
32634,股东,13.282831074194466
28825,保护,13.12416417668443
19892,职工,13.023179958505509
10791,产品,10.863248656938643
31139,制度,10.34839062720055
24090,报告,10.256166818591879
32167,质量,10.099719551985315
12536,积极,9.993885362317751
19383,投资,9.82323779191883
12382,权益,9.762800895945979
11521,客户,9.655319562211968
31547,技术,9.28525154351999
6586,培训,9.039764535952562
18043,信息,8.46066890949707
31034,通过,8.455497005154317
3024,进行,8.220437191273447
17899,投资者,8.062605456373566
15970,供应,7.987108962494184
9838,年度,7.947660341720043
6439,经营,7.928855840980429
16080,建立,7.904272229068801
14932,环保,7.842069392043945
5026,活动,7.445620017770819
4965,持续,7.3955841955349015
4643,体系,7.32642830805059
22100,供应商,7.291887881678102
11596,有限,7.243637282951384
25840,建设,7.240888416934891
18777,董事,7.222349889458876
34325,提高,6.966594220093595
6784,经济,6.854823442318516
22291,实现,6.791193734410233
27363,同时,6.787943375367972
6299,履行,6.772775772196274
31151,开展,6.678416110801441
19241,有限公司,6.617504858130242
5424,股份,6.55036046944951
25556,完善,6.397872841194064
5567,相关,6.382462612743622
1129,关系,6.224388983828765
13678,服务,6.196013340148593
24991,国家,6.172441655272752
21112,项目,6.15564291575403
5759,节能,6.05021230501348
18542,不断,6.042403844300271
26223,治理,5.844525262775211
26896,方面,5.823134394583253
24575,组织,5.817576943100488
27857,披露,5.79876784710071
16977,加强,5.7272214665283405
28764,利益,5.6447505525635995
24105,劳动,5.633489582198551
30839,股份有限,5.35579384054989
3333,万元,5.334374253839412
34132,提供,5.271587448309076
24011,和谐,5.26002554142621
25478,严格,5.233826021859704
33446,情况,5.2203078485610686
18491,上市,5.116207266615439
31044,债权,5.005384158614784
7956,坚持,4.982636069644202
4716,人员,4.926126783366939
3408,中国,4.907444369891837
2088,资源,4.893859037598679
18220,保障,4.830382832186617
21454,健康,4.75639367941557
13757,能源,4.749616653798241
15205,债权人,4.654592357266743
2667,控制,4.632932955645333
25115,创新,4.592596974104638
23769,集团,4.561065915312212
10026,标准,4.560045823215467
8449,董事会,4.5326567962182205
30592,促进,4.515323171684289
16422,规范,4.509785835128536
20880,利用,4.448155207833881
22741,环境保护,4.347097012371986
2220,实施,4.344096603973062
25641,提升,4.3093173995902925
33497,大会,4.247689462082742
11413,合法,4.244351751347191
33085,市场,4.205574006185379
3143,要求,4.174745845488371
22941,科技,4.1441484196526215
3452,规定,4.098592735699471
4974,有效,4.0849384944784894
1700,公益,4.077486303969669
17472,排放,4.060344292309728
25489,工程,4.0427545564582
5135,重大,3.9573067707762517
17796,合作,3.9505845618964117
899,职业,3.89173458105925
612,事业,3.8914329410324084
10090,创造,3.8877310510684584
22435,价值,3.8748872807122416
12904,及时,3.817094433948482
22816,保证,3.8023654760425494
25295,人才,3.726371851605862
28441,良好,3.7209762818321783
13082,法权,3.712270563498818
11604,单位,3.7073101255459617
11627,东大,3.6873144396252187
27176,产业,3.6825156420156713
23922,药业,3.6782467464286
21986,减排,3.6695139444481804
26260,水平,3.6532358106277214
13487,电力,3.6521179378603694
19663,合法权,3.631548727465187
25684,我们,3.6115901036242897
3659,上海,3.587193145325101
26591,行社,3.571241008248315
1946,合同,3.5662547107668074
2875,行业,3.54091389465598
33585,处理,3.5375153017886576
16284,战略,3.530505832680904
29723,股东大会,3.525481878680746
23316,合法权益,3.5250464431077186
311,综合,3.52294218301287
22735,能力,3.52193900511713
31969,污染,3.5190688715585337
7951,重视,3.504746814173957
11003,按照,3.48497271462703
21666,充分,3.4844942722944494
23529,发电,3.48242119670243
33169,作为,3.472767411184709
14424,系统,3.4500221455477704
20434,理念,3.4349454824615195
23968,文化,3.42834199287255
2594,机制,3.416432760207754
32315,监督,3.414941466879073
14206,证券,3.4065993564478108
17252,目标,3.3933635012034373
