word	num	freq
环境	2727	0.003299623211342863
持续	2693	0.003258483794699791
环保	2668	0.0032282342236387086
质量	2118	0.002562743660294897
节能	1868	0.0022602479496840735
健康	1445	0.0017484252073305601
能源	1291	0.0015620878495942927
资源	1177	0.0014241498055557573
减排	1108	0.00134066098942717
排放	929	0.0011240740606298203
循环	835	0.0010103356734401507
绿色	800	0.0009679862739546353
清洁	754	0.0009123270632022438
回收	609	0.0007368795510479661
改造	555	0.0006715404775560282
污染	417	0.0005045628452988537
废水	417	0.0005045628452988537
公益	405	0.0004900430511895342
能耗	387	0.00046826336002555485
节约	382	0.00046221344581333834
污染物	376	0.0004549535487586786
高效	359	0.0004343838404371426
低碳	330	0.0003992943380062871
废弃物	328	0.00039687437232140046
废气	314	0.00037993461252719434
整改	312	0.00037751464684230776
污水	274	0.0003315352988294626
效率	271	0.0003279053503021327
生态	266	0.00032185543608991625
新能源	231	0.00027950603660440094
绿化	207	0.00025046644838576187
噪声	159	0.00019238727194848378
防治	159	0.00019238727194848378
ISO14001	155	0.0001875473405787106
ISO14000	155	0.0001875473405787106
卫生	144	0.00017423752931183435
文明	141	0.00017060758078450448
升级	129	0.00015608778667518494
信息化	126	0.00015245783814785507
限度	125	0.00015124785530541178
自然	123	0.00014882788962052517
风电	122	0.00014761790677808188
粉尘	121	0.0001464079239356386
除尘	113	0.00013672806119609224
转型	110	0.00013309811266876235
用水	106	0.00012825818129898919
三废	98	0.00011857831855944282
气体	96	0.00011615835287455624
防护	92	0.00011131842150478306
垃圾	84	0.00010163855876523671
整治	83	0.00010042857592279342
削减	80	9.679862739546353e-05
废物	77	9.316867886813365e-05
废弃	75	9.074871318324706e-05
高质量	75	9.074871318324706e-05
排污	74	8.953873034080377e-05
烟尘	74	8.953873034080377e-05
太阳能	72	8.711876465591717e-05
降耗	56	6.775903917682448e-05
环评	55	6.654905633438117e-05
噪音	51	6.1709124964608e-05
温室	49	5.928915927972141e-05
净化	44	5.323924506750494e-05
再生	44	5.323924506750494e-05
辐射	40	4.839931369773177e-05
废旧	36	4.3559382327958586e-05
植树	31	3.7509468115742115e-05
浪费	29	3.508950243085553e-05
关停	28	3.387951958841224e-05
风能	11	1.3309811266876235e-05
造林	11	1.3309811266876235e-05
降解	6	7.259897054659765e-06
粗放	5	6.049914212216471e-06
无公害	2	2.4199656848865883e-06
